Dataset,Samples,Features,NumClasses,TabPFN_Accuracy,TabPFN_MacroF1,TabPFN_Time,CatBoost_Accuracy,CatBoost_MacroF1,CatBoost_Time,RF_Accuracy,RF_MacroF1,RF_Time,SPORF_Accuracy,SPORF_MacroF1,SPORF_Time
dataset_29.csv,690,15,2,0.8739130434782609,0.8726482367677333,6.600430907914415,0.881159420289855,0.8795173673529272,3.1803908499423414,0.8797101449275363,0.8778449282608609,21.4820062040817,0.8768115942028984,0.8752798547485392,20.405699468916282
dataset_31.csv,1000,20,2,0.76,0.6881996569611466,7.953295588027686,0.7620000000000001,0.6736966575209566,3.500934013049118,0.759,0.6683015570145345,22.59746944892686,0.765,0.6776224033961278,18.18909891101066
dataset_32.csv,10992,16,10,,,,0.9939045413185541,0.9939191451251089,66.50198723503854,0.9922670196045992,0.9923611663239778,20.96926969999913,0.9941775167507652,0.9942161589581893,20.442920782021247
dataset_37.csv,768,8,2,0.7604066985645933,0.7267136739724196,2.4782532249810174,0.7773410799726589,0.7415629070402405,2.574887902010232,0.7681989063568011,0.7342301788626976,22.316032865084708,0.7720437457279563,0.7380997218906785,20.598440675996244
dataset_38.csv,3772,29,2,0.9862188258739982,0.9388365344760101,14.091319484054111,0.9901919919161297,0.9563019760558527,10.012084849993698,0.9856855149958598,0.9318562602568425,23.20544490404427,,,0.026650628075003624
dataset_44.csv,4601,57,2,0.9595741771196831,0.9576673439891195,32.217831525951624,0.961095916250118,0.9591654908006942,19.42961769597605,0.9534895784212016,0.9510434999313567,20.217645123018883,0.953706498160898,0.9512864888141424,20.089099702076055
dataset_46.csv,3190,60,3,0.9692789968652036,0.9662913391506258,11.164181931992061,0.9598746081504702,0.9561674775196852,25.069319533999078,0.9554858934169278,0.950401139486428,20.51167836494278,0.9551724137931034,0.9507197832616091,19.397969714016654
dataset_50.csv,958,9,2,0.9853947368421053,0.983595636882218,5.355876215966418,1.0,1.0,18.26777079491876,0.956140350877193,0.9497767630711718,23.037372829043306,0.9393969298245614,0.9294421651307445,22.04437257803511
dataset_54.csv,846,18,4,0.8581792717086835,0.8592861007196653,7.308447111980058,0.7659943977591037,0.7618875561067414,17.798462370992638,0.7481932773109243,0.7418576441645345,20.98413250700105,0.7564705882352941,0.7503817503937895,17.430245672003366
dataset_151.csv,45312,8,2,,,,0.919712243185758,0.9176956624068161,191.77949756605085,0.9127605299415247,0.9104488597895826,28.312087723053992,0.9158280516508516,0.9136072373875163,49.30577111104503
